iter	RMSE
357	5.106928163
358	5.098434628
359	5.085946466
360	5.081884365
361	5.069448895
362	5.052948268
363	5.040271881
364	5.024411072
365	5.010036883
366	4.991271101
367	4.98150053
368	4.970781855
369	4.952747892
370	4.939061049
371	4.926286379
372	4.923653772
373	4.913776002
374	4.905427757
375	4.891742087
376	4.87677201
377	4.868725639
378	4.86411024
379	4.851258847
380	4.842363197
381	4.83973517
382	4.828620407
383	4.817249104
384	4.815500685
385	4.807210519
386	4.796246051
387	4.792719975
388	4.781258724
389	4.770605101
390	4.760658813
391	4.752198454
392	4.749112465
393	4.740701671
394	4.728406191
395	4.723667692
396	4.712750184
397	4.70507456
398	4.694264787
399	4.683076702
400	4.674067706
401	4.663259506
402	4.654631689
403	4.650206951
404	4.639813364
405	4.631920204
406	4.627000124
407	4.614106317
408	4.60319693
409	4.592500798
410	4.581707637
411	4.574241703
412	4.563949398
413	4.561919273
414	4.551867366
415	4.549888032
416	4.538522944
417	4.526845243
418	4.517828577
419	4.508149347
420	4.498746141
421	4.486295361
422	4.483511248
423	4.470586026
424	4.458818475
425	4.451313061
426	4.441889055
427	4.430842724
428	4.421949863
429	4.409958617
430	4.406180945
431	4.399122069
432	4.397543088
433	4.394054358
434	4.389608801
435	4.379404879
436	4.366804921
437	4.356725456
438	4.351397841
439	4.34303802
440	4.332308885
441	4.32409377
442	4.316698798
443	4.315404235
444	4.313757829
445	4.308325892
446	4.296822449
447	4.289396994
448	4.286966618
449	4.283954519
450	4.279141924
451	4.275645695
452	4.266964631
453	4.265370531
454	4.255180841
455	4.251614236
456	4.242131038
457	4.238058835
458	4.229670944
459	4.22122169
460	4.213277609
461	4.200390842
462	4.197183949
463	4.192894791
464	4.185480952
465	4.172234592
466	4.16516079
467	4.155812156
468	4.149979917
469	4.143622119
470	4.132871153
471	4.122775842
472	4.117321418
473	4.106958731
474	4.103048881
475	4.100340512
476	4.095445857
477	4.089351588
478	4.081297775
479	4.073551008
480	4.067901436
481	4.059778551
482	4.058416878
483	4.049940288
484	4.041122605
485	4.031712936
486	4.025491388
487	4.020100489
488	4.018413977
489	4.008537984
490	4.005876439
491	4.002031835
492	3.995001199
493	3.986313308
494	3.979156176
495	3.972009914
496	3.963691947
497	3.958942813
498	3.952627098
499	3.938787791
500	3.931109583
501	3.922199256
502	3.91539243
503	3.910233619
504	3.903592475
505	3.90030045
506	3.891576357
507	3.884504497
508	3.877508255
509	3.868636825
510	3.865213147
511	3.856867272
512	3.848783573
513	3.841095904
514	3.833737585
515	3.827616186
516	3.826574703
517	3.820227511
518	3.810685789
519	3.80114837
520	3.796622131
521	3.789633096
522	3.782472123
523	3.77417851
524	3.771905237
525	3.768193983
526	3.762482042
527	3.754093904
528	3.751184129
529	3.743138713
530	3.737217863
531	3.731173267
532	3.723500414
533	3.714587111
534	3.70969766
535	3.699195147
536	3.688689897
537	3.678069675
538	3.673130726
539	3.670754019
540	3.662373284
541	3.657317043
542	3.654149947
543	3.647672444
544	3.641886349
545	3.633833683
546	3.632483944
547	3.629949953
548	3.622207657
549	3.615976406
550	3.608063471
551	3.60364396
552	3.597504714
553	3.586602416
554	3.583752528
555	3.57613629
556	3.571549382
557	3.565372259
558	3.559275027
559	3.556283272
560	3.55200791
561	3.546182573
562	3.538114758
563	3.533086399
564	3.528164194
565	3.524492778
566	3.519777143
567	3.514966369
568	3.507181954
569	3.50240808
570	3.499280571
571	3.496513062
572	3.489982315
573	3.486145539
574	3.479854625
575	3.47587922
576	3.468997256
577	3.464718144
578	3.457301473
579	3.451781841
580	3.446383098
581	3.44153061
582	3.440766771
583	3.434920632
584	3.427516904
585	3.422442268
586	3.416059273
587	3.411447984
588	3.40852885
589	3.40439261
590	3.401020589
591	3.395923105
592	3.389020354
593	3.388230315
594	3.384261641
595	3.381023333
596	3.376634734
597	3.371308896
598	3.365101393
599	3.361504064
600	3.356847432
601	3.353574556
602	3.34786536
603	3.342741603
604	3.337988177
605	3.333864158
606	3.328260291
607	3.322824726
608	3.31535077
609	3.313841388
610	3.311668468
611	3.308002543
612	3.300939003
613	3.296657442
614	3.291123819
615	3.287151572
616	3.28486578
617	3.28230861
618	3.277610867
619	3.270022387
620	3.264070785
621	3.260599005
622	3.257182402
623	3.251575917
624	3.246050694
625	3.238971993
626	3.235376558
627	3.229335877
628	3.225079191
629	3.219490405
630	3.21185017
631	3.209737238
632	3.202239981
633	3.199655503
634	3.19351646
635	3.187620716
636	3.180978755
637	3.175970189
638	3.171378584
639	3.16668962
640	3.165828381
641	3.163032636
642	3.158374308
643	3.156040992
644	3.151851866
645	3.146690996
646	3.141631088
647	3.138782846
648	3.133055712
649	3.130722061
650	3.12864629
651	3.123824743
652	3.118783683
653	3.114956759
654	3.113416759
655	3.106757667
656	3.1042887
657	3.101402878
658	3.0982667
659	3.094541438
660	3.090899163
661	3.087331947
662	3.084786806
663	3.080474297
664	3.076518379
665	3.073899166
666	3.06976493
667	3.063987459
668	3.058420531
669	3.054460725
670	3.049068205
671	3.047578748
672	3.045402193
673	3.039705041
674	3.036826476
675	3.032227392
676	3.030023469
677	3.024222124
678	3.019799231
679	3.015520932
680	3.008167226
681	3.005486253
682	3.002933446
683	2.997863795
684	2.991506489
685	2.988640566
686	2.987015229
687	2.983863783
688	2.979212887
689	2.976452992
690	2.970750045
691	2.966846321
692	2.963607026
693	2.96002186
694	2.95704525
695	2.952767724
696	2.948433371
697	2.946467342
698	2.943750797
699	2.94146945
700	2.93947151
701	2.936698977
702	2.931671511
703	2.928544159
704	2.926590828
705	2.922078179
706	2.92153299
707	2.916513727
708	2.910750269
709	2.905444868
710	2.902496144
711	2.898270526
712	2.893750423
713	2.890917712
714	2.889279411
715	2.884828861
716	2.880486498
717	2.878399721
718	2.877320594
719	2.872351422
720	2.870583266
721	2.867668628
722	2.864075287
723	2.861221979
724	2.857664033
725	2.853056003
726	2.850638227
727	2.847676204
728	2.842738054
729	2.838648371
730	2.835296091
731	2.830887945
732	2.828200168
733	2.826820101
734	2.822750308
735	2.817378504
736	2.81215218
737	2.808315501
738	2.805061179
739	2.803246309
740	2.799523949
741	2.795199723
742	2.79106955
743	2.786304984
744	2.784415636
745	2.78063632
746	2.777314621
747	2.775479309
748	2.774199866
749	2.769906917
750	2.766837299
751	2.764345747
752	2.759612415
753	2.756357811
754	2.753403241
755	2.749490021
756	2.744635273
757	2.743227804
758	2.741407384
759	2.736637621
760	2.733958829
761	2.730662717
762	2.728001558
763	2.727398304
764	2.725156622
765	2.72282895
766	2.718702062
767	2.717596025
768	2.716300586
769	2.714821959
770	2.710309653
771	2.706256269
772	2.702989281
773	2.700584793
774	2.698848401
775	2.694500566
776	2.691254374
777	2.689041046
778	2.685765838
779	2.682633143
780	2.679302848
781	2.675776359
782	2.672390001
783	2.671550852
784	2.67005971
785	2.667755429
786	2.664375105
787	2.661660556
788	2.657833378
789	2.656237246
790	2.651945693
791	2.647924021
792	2.643987719
793	2.639373621
794	2.635480774
795	2.633519809
796	2.629033707
797	2.628195901
798	2.62498763
799	2.622150039
800	2.617540935
801	2.612861153
802	2.610055078
803	2.605820094
804	2.602292829
805	2.6017304
806	2.599013186
807	2.595777104
808	2.594729695
809	2.59010815
810	2.587941935
811	2.584794513
812	2.580563525
813	2.576908047
814	2.574328847
815	2.573142776
816	2.569015187
817	2.565357777
818	2.562446148
819	2.560765981
820	2.558283958
821	2.557516385
822	2.555742501
823	2.552477633
824	2.54947039
825	2.546651143
826	2.545977917
827	2.544651598
828	2.540538188
829	2.538989593
830	2.536175302
831	2.534006825
832	2.531386441
833	2.52833132
834	2.526380212
835	2.525726527
836	2.525003237
837	2.52326131
838	2.520371353
839	2.518062247
840	2.514381275
841	2.512313854
842	2.509767028
843	2.509091241
844	2.505070617
845	2.503233373
846	2.499126365
847	2.496293827
848	2.495755783
849	2.493005447
850	2.488731774
851	2.485655688
852	2.481641684
853	2.479566972
854	2.476697527
855	2.475760129
856	2.473660849
857	2.473026636
858	2.472458048
859	2.469496368
860	2.467238651
861	2.463672415
862	2.462612371
863	2.459900733
864	2.456939568
865	2.453917245
866	2.451497658
867	2.448801391
868	2.44658763
869	2.443731739
870	2.441657806
871	2.439690762
872	2.437605075
873	2.435174621
874	2.433302841
875	2.428295988
876	2.427536397
877	2.42650335
878	2.420869658
879	2.418310478
880	2.415136835
881	2.413360584
882	2.410915836
883	2.40906592
884	2.407454886
885	2.405843339
886	2.403600578
887	2.402573449
888	2.400933898
889	2.398331046
890	2.396595032
891	2.392856236
892	2.389716987
893	2.38759942
894	2.385148024
895	2.382939105
896	2.379602843
897	2.376728708
898	2.373227875
899	2.371394385
900	2.369258201
901	2.366295876
902	2.364475998
903	2.362967888
904	2.358821963
905	2.355831461
906	2.355177094
907	2.35440559
908	2.35380124
909	2.34949584
910	2.348717302
911	2.347664261
912	2.34496101
913	2.342197594
914	2.340235329
915	2.33919829
916	2.336496321
917	2.331703833
918	2.331259331
919	2.330563676
920	2.32813675
921	2.324442059
922	2.321701359
923	2.32075561
924	2.318774283
925	2.316921818
926	2.314768911
927	2.312995722
928	2.310892688
929	2.308229067
930	2.305500263
931	2.304315602
932	2.301995152
933	2.299997988
934	2.296888489
935	2.294546044
936	2.29222568
937	2.289547623
938	2.287184844
939	2.285789375
940	2.283412069
941	2.28095914
942	2.27915559
943	2.278064603
944	2.276820272
945	2.27415925
946	2.272137654
947	2.269420476
948	2.267266446
949	2.265604456
950	2.262176303
951	2.258397632
952	2.256398891
953	2.25371221
954	2.252212006
955	2.249875493
956	2.248404692
957	2.244506576
958	2.242814345
959	2.240822739
960	2.239166812
961	2.2367465
962	2.233752936
